InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,Country,Product,TotalAmount
221958,82460,2023-12-30,4,1032.9366555094275,UK,T-shirt,4131.74662203771
771155,37208,2023-04-28,6,1112.5192877573172,India,T-shirt,6675.115726543903
231932,95150,2023-08-21,2,602.8390210283318,UK,T-shirt,1205.6780420566636
465838,76024,2023-07-18,5,1899.429053305911,India,T-shirt,9497.145266529555
359178,49882,2023-07-25,6,1692.8050083293715,USA,Watch,10156.83004997623
744167,35923,2023-12-05,5,1458.628339883957,UK,Watch,7293.141699419785
210268,39165,2023-05-27,2,202.0880394983477,UK,Bags,404.1760789966954
832180,77203,2023-09-28,7,256.9535376525879,India,T-shirt,1798.6747635681154
154886,14114,2023-05-19,4,1010.9236244366637,India,Perfume,4043.6944977466546
237337,74965,2023-06-30,8,363.3910309224221,India,Shoes,2907.1282473793767
621430,46321,2023-01-30,7,1957.6176538824745,India,Bags,13703.323577177322
187498,83297,2023-02-26,7,359.1144563534484,UK,Shoes,2513.801194474139
999159,35426,2023-08-20,9,1000.5622791547493,India,Shoes,9005.060512392743
275203,27772,2023-05-26,1,760.0360608409355,UK,T-shirt,760.0360608409355
291335,13712,2023-02-17,6,1296.803521835491,UAE,Perfume,7780.821131012946
378167,11367,2023-07-13,6,301.62099733437856,UK,Shoes,1809.7259840062713
141090,61924,2023-08-12,6,889.1170346826623,India,Shoes,5334.702208095974
429365,13726,2023-05-16,6,585.6748139739301,India,Bags,3514.0488838435804
164820,99152,2023-01-22,7,1781.1154731097918,UAE,Perfume,12467.808311768542
887201,37723,2023-01-06,6,129.1421386626554,UK,Perfume,774.8528319759325
421879,19108,2023-07-23,1,1831.7686133125956,UAE,Shoes,1831.7686133125956
818315,87714,2023-08-27,3,1674.338570178351,UK,Perfume,5023.015710535053
427069,45643,2023-07-04,2,630.2628970595902,India,Bags,1260.5257941191803
876997,41324,2023-12-26,6,1589.1167766203541,UK,Bags,9534.700659722124
299041,93360,2023-10-19,8,110.86644266055774,India,Bags,886.9315412844619
891743,18927,2023-12-01,3,1935.3878230721175,India,T-shirt,5806.1634692163525
203355,32443,2023-08-08,8,1076.8601380500893,USA,Shoes,8614.881104400714
335796,89973,2023-04-26,8,641.3980008276183,USA,Perfume,5131.184006620946
314176,73449,2023-11-09,5,757.0372645596203,UK,Bags,3785.1863227981016
284779,86743,2023-02-18,8,179.49043924796985,India,Shoes,1435.9235139837588
447449,70233,2023-06-22,6,1979.2315523819764,UAE,Shoes,11875.389314291859
521909,35537,2023-03-23,5,126.61929304385028,India,T-shirt,633.0964652192514
358795,87576,2023-11-18,9,1327.068890138325,UAE,Perfume,11943.620011244926
586232,32612,2023-11-29,7,913.3350590275937,UK,Perfume,6393.345413193156
600186,16471,2023-02-14,8,1900.3866254679945,UK,Bags,15203.093003743956
256730,45631,2023-12-01,1,529.6994935982506,UAE,Bags,529.6994935982506
